13000.000000 1.979029 5.011739 2.165551 21.351538 25.812670 23.321382 24.666140 27.480499  3.04657 0.71272 1.51110
13000.200000 1.978304 4.926556 2.201622 21.687390 25.889543 23.515198 24.355834 27.356038  2.73894 1.40135 1.49358
13000.400000 1.976733 4.944130 2.191616 21.574721 26.382452 23.355888 24.802894 27.632940  2.38943 2.18175 1.88232
13000.600000 1.976379 5.036683 2.336352 21.505911 26.636806 23.557845 25.106889 28.121436  2.39320 2.17366 1.28746
13000.800000 1.972236 4.975532 2.275459 21.789614 26.275816 23.814575 24.802451 28.152750  2.69557 2.73553 0.78279
13001.000000 1.982970 4.991447 2.128368 21.763540 25.755081 23.486763 24.150750 28.531356  3.34675 1.65962 1.42092
13001.200000 1.980464 4.988762 2.237497 21.698197 25.318360 23.338825 23.566190 29.034029  2.57940 2.25701 2.15859
13001.400000 1.971842 5.312355 2.121198 21.380671 25.832782 22.690713 24.083764 29.559967  2.96461 2.69156 2.08755
13001.600000 1.976931 5.579542 2.268511 21.366517 26.207256 22.637685 24.157107 29.261786  2.74883 2.28286 1.21080
13001.800000 1.973164 5.608983 2.387842 21.243733 25.984784 22.955663 24.137998 29.156678  2.53453 2.43790 1.89805
13002.000000 1.972392 5.881787 2.420766 20.886596 25.614943 22.617616 23.705521 29.678785  2.36300 1.96401 2.51120
13002.200000 1.974797 5.841362 2.401363 20.479965 25.753462 22.131470 23.783681 29.897763  2.89923 1.46821 1.98785
13002.400000 1.962433 5.886463 2.457439 19.642604 26.281621 21.324775 24.218406 29.845055  2.91059 2.18639 2.07898
13002.600000 1.974183 5.879515 2.375607 18.779427 26.101540 20.420813 24.164398 30.172807  2.97217 1.85260 2.05103
13002.800000 1.965519 5.905617 2.428185 18.110051 26.511526 19.833950 24.689590 30.164842  3.02811 1.36197 2.42188
13003.000000 1.979508 5.878237 2.300697 18.235320 26.623624 19.948402 24.968848 29.931831  3.13373 0.90219 2.42694
13003.200000 1.963544 5.870553 2.385688 18.177895 26.141209 19.859723 25.079606 30.441494  2.84123 1.48893 1.99850
13003.400000 1.978130 5.870654 2.266260 17.933702 25.594019 19.409167 25.822984 30.402889  3.05585 1.84804 2.08361
13003.600000 1.972857 5.880385 2.301551 18.494793 25.565966 20.128201 25.835328 30.919821  3.47433 3.15192 2.08663
13003.800000 1.976821 5.967224 2.474497 18.664654 25.260278 20.336672 26.034273 30.754436  2.47504 2.04786 1.31821
13004.000000 1.972907 5.932920 2.379442 19.289761 25.400474 20.927394 26.209788 30.665418  2.85926 3.02332 1.12885
13004.200000 1.941877 5.845997 2.508232 19.537034 25.852289 21.150047 25.699168 30.229283  2.70369 2.11733 1.09954
13004.400000 1.963950 5.871264 2.449596 19.519718 26.020203 20.976938 25.695144 30.605776  3.16788 1.66739 1.89328
13004.600000 1.968906 5.980156 2.419605 19.237763 26.048394 20.572283 25.814358 30.544020  3.13468 2.73605 1.36075
13004.800000 1.968821 5.896762 2.343910 19.611392 25.944224 20.896415 25.649184 30.159464  3.49982 1.82207 1.68928
13005.000000 1.962449 5.868746 2.413889 19.160915 26.009224 20.831474 25.523167 30.604623  2.78263 2.11343 2.19164
13005.200000 1.978685 5.912906 2.315846 19.416463 26.510516 21.148950 25.176054 30.690673  3.45014 1.98055 1.72554
13005.400000 1.976309 5.874953 2.319543 19.209059 26.399549 20.897816 24.633813 30.512604  3.45248 1.35650 2.35344
