 0.000000 0.000110 7.805181 26.315434 21.814346 6.150034 21.589361 26.063695 19.849882     16.36358 14.90119 14.57025 
 0.200000 0.000185 7.639263 26.295136 21.997493 6.614647 22.114600 26.320789 19.741126     16.01623 15.11234 12.81793
 0.400000 0.000002 7.784440 25.734248 22.141018 7.193783 22.448312 26.174715 19.324108     16.64540 14.33084 12.31666
 0.600000 0.000002 7.845767 25.482135 20.790642 6.763246 22.988049 25.466029 18.266918     15.01597 14.98644 14.11975
 0.800000 0.000001 7.868042 26.126774 20.517647 6.890662 23.252836 26.025973 18.239234     15.39060 14.62163 14.82539
 1.000000 0.000001 7.869499 26.839932 19.942058 7.028171 21.979669 25.882810 18.215322     16.44145 14.13692 15.26980
 1.200000 0.000001 7.853067 26.530434 19.758390 7.047564 22.163567 25.981321 18.806470     15.95218 12.66756 15.67519
 1.400000 0.000002 7.979118 26.099794 19.678957 6.755679 23.394311 25.847831 18.646553     14.46640 12.89600 15.72828
 1.600000 0.000001 7.905505 27.702233 19.547897 6.972157 22.162849 27.582852 18.107994     14.12837 10.77412 16.91542
 1.800000 0.000007 7.817559 28.705673 20.111676 6.421023 20.846292 28.021193 18.005232     13.29712 11.71319 16.08841
 2.000000 0.000000 7.950385 28.537894 20.251919 7.126276 21.763966 27.649744 17.504358     16.53576 11.99197 13.85465
 2.200000 0.000000 7.797343 28.366549 20.662158 7.179842 22.668725 26.813690 17.534671     17.12466 10.00502 15.83685
 2.400000 0.000001 7.836619 28.057546 21.370239 6.855717 22.539329 26.088706 18.100270     14.85124 13.08758 17.46186
 2.600000 0.000000 7.899783 27.858421 21.154276 7.178679 21.976499 25.727751 18.056115     15.15323 14.43807 15.85606
 2.800000 0.000000 8.153406 28.218966 20.618609 7.103904 21.259374 26.593983 17.075136     14.94100 14.71722 15.93937
 3.000000 0.000000 7.985243 28.652686 20.381391 7.762834 20.599488 27.331175 16.980408     15.29056 14.05731 16.69874
