7000.000000 5.888859 2.004667 2.496858 2.476820 2.434476 4.717646 3.687131 3.709204      2.50661 1.95728 1.74696
7000.200000 5.900952 2.010779 2.515769 2.397884 2.386632 4.699150 3.574243 3.681305      1.88796 1.97469 1.04114
7000.400000 5.910756 1.979081 2.510501 2.396819 2.358968 4.661107 3.528714 3.822634      2.13814 1.93379 0.83811
7000.600000 5.901594 2.000258 2.430181 2.397009 2.548755 4.637609 3.683435 3.671352      2.10491 2.34902 0.96079
7000.800000 5.906821 1.957898 2.439930 2.399837 2.408923 4.672632 3.514090 3.732954      2.40548 2.17972 0.98535
7001.000000 5.866313 1.980116 2.532948 2.399813 2.438599 4.797840 3.508282 3.696772      1.87178 2.13276 1.16533
7001.200000 5.904303 1.917326 2.417649 2.459924 2.423329 4.753717 3.558087 3.694397      1.87539 2.12642 1.25050
7001.400000 5.892049 2.013287 2.480177 2.308302 2.487113 4.623498 3.565000 3.784760      2.11923 1.97655 1.36932
7001.600000 5.907472 1.979526 2.440565 2.429073 2.424040 4.635142 3.602035 3.742217      1.64909 2.12545 1.43008
7001.800000 5.908737 1.986272 2.535917 2.366761 2.405880 4.746526 3.506947 3.658652      2.30722 1.60919 0.86727
7002.000000 5.896310 1.952740 2.330278 2.477494 2.556919 4.638176 3.567938 3.868575      1.57841 1.96555 0.88102
7002.200000 5.913286 2.011367 2.458489 2.462029 2.435205 4.625809 3.652124 3.708544      2.52454 1.18191 1.07314
7002.400000 5.881311 1.990199 2.506436 2.364167 2.618563 4.654275 3.574472 3.858556      1.65920 1.69679 1.21890
7002.600000 5.899037 1.971334 2.511989 2.346893 2.406930 4.689188 3.564208 3.744466      1.78450 1.85022 1.36056
7002.800000 5.892101 2.030126 2.347333 2.546377 2.560504 4.751348 3.589950 3.812945      2.16843 1.43421 1.32313
7003.000000 5.895294 1.927820 2.423024 2.592656 2.430053 4.746381 3.498973 3.798670      1.73031 1.34006 1.12596
7003.200000 5.895197 1.977501 2.484800 2.490356 2.397149 4.756716 3.677760 3.710025      2.33409 1.60784 1.13091
7003.400000 5.894731 1.977075 2.476099 2.485500 2.431609 4.663372 3.575798 3.882471      1.99710 2.37045 1.39329
7003.600000 5.888393 1.978618 2.494747 2.510369 2.374506 4.773608 3.599712 3.758689      2.49534 1.40895 1.42975
7003.800000 5.862306 2.066357 2.443112 2.427058 2.633212 4.714788 3.608012 3.957444      2.26754 2.38240 1.37372
7004.000000 5.879983 2.022399 2.649070 2.401620 2.461312 4.885109 3.577696 3.701202      2.10290 2.40005 0.94436
7004.200000 5.875792 2.003115 2.512589 2.460141 2.540782 4.712679 3.587531 3.752504      1.65563 1.72320 0.63253
7004.400000 5.905334 1.986818 2.482739 2.414645 2.431997 4.675338 3.439394 3.722103      1.49013 1.83403 0.58610
7004.600000 5.886182 2.024891 2.410756 2.430712 2.476531 4.682115 3.545071 3.617353      1.52900 1.84249 0.71099
7004.800000 5.889249 2.010467 2.566511 2.519408 2.419531 4.855230 3.620024 3.763075      1.78955 1.92469 1.35503
7005.000000 5.885449 2.055921 2.440519 2.573861 2.515294 4.779478 3.575877 3.765389      1.41595 2.33742 0.51834
7005.200000 5.886385 1.993960 2.478496 2.553312 2.376882 4.842074 3.578672 3.622710      1.38080 1.99380 0.66763
7005.400000 5.906879 1.983913 2.379210 2.527223 2.566426 4.743875 3.698921 3.660822      1.73975 1.71725 0.33970
7005.600000 5.910847 1.884941 2.377709 2.467007 2.485050 4.626365 3.780636 3.748193      1.95432 2.09213 0.73739
7005.800000 5.890884 2.097378 2.507233 2.590865 2.541858 4.839996 3.701597 3.822074      2.27621 1.96643 0.67268
7006.000000 5.790330 2.025659 2.644858 2.487598 2.471838 4.871202 3.711002 3.699411      1.79956 1.67337 0.44311
7006.200000 5.890689 2.042666 2.373056 2.472844 2.526351 4.620526 3.664758 3.684538      2.12399 2.29396 0.56749
7006.400000 5.896734 2.001637 2.416795 2.589949 2.483700 4.761488 3.653301 3.793682      1.91943 2.17861 0.58997
7006.600000 5.890540 2.006642 2.501955 2.682404 2.398665 4.848844 3.733598 3.941609      2.33162 2.09055 0.89737
7006.800000 5.873277 2.016302 2.445836 2.505015 2.477834 4.780098 3.584203 3.738581      1.94323 1.66376 1.26456
7007.000000 5.901546 1.813614 2.542721 2.348404 2.329486 4.651457 3.678834 3.732508      2.00654 1.75715 1.26783
7007.200000 5.905955 1.950619 2.525614 2.451367 2.322346 4.762320 3.694998 3.632868      2.15860 1.63542 0.69248
7007.400000 5.917844 1.992925 2.347637 2.461548 2.405715 4.649426 3.470102 3.677248      1.86163 1.87890 0.79311
7007.600000 5.888499 1.995712 2.568348 2.593688 2.451126 4.925692 3.701749 3.931169      2.07843 1.99806 0.74460
7007.800000 5.856756 2.024056 2.677501 2.611118 2.481306 4.971360 3.698189 3.760280      1.73828 1.68802 0.88484
7008.000000 5.872417 2.001526 2.406015 2.469979 2.642802 4.632598 3.704806 3.696187      1.81680 1.96697 0.56815
7008.200000 5.887203 1.988617 2.492995 2.477039 2.620480 4.829637 3.622181 3.731755      1.49159 1.22337 1.04701
7008.400000 5.884574 2.017348 2.445275 2.507817 2.528299 4.687147 3.776635 3.762058      2.36615 1.72181 1.04954
